data,IPCA,mediadosnucleos,EX3servicos,administrados,servicos,industriais,alimentacaonodomicilio
2002-07-01,8.55979616226304,6.310062660145254,3.47992113736602,15.797149447779788,6.032987423218998,6.166157652120006,5.317629158841598
2002-08-01,9.855418085447965,6.844945979518767,4.083402317507506,14.500152950333444,5.555524532330722,6.537154692265986,17.193872402926687
2002-09-01,11.289001851054394,8.426725846609665,6.6342105520695895,11.11583071604403,7.079616064347704,8.647760249886474,25.942344314751793
2002-10-01,13.004722801378136,9.347874989500076,6.202483872548072,8.005110260851822,6.261767704442917,10.93403688848396,33.71801549197485
2002-11-01,23.010240537049455,13.134522417266808,8.250053500544041,25.90275516738714,8.272306847418093,14.329883642929104,44.45108232584485
2002-12-01,26.988658427249064,16.57386954308453,10.936295386989286,30.475233991714163,9.855679693742701,19.932930092775706,49.84859216423078
2003-01-01,30.99160569422088,19.368606726095095,13.070612567897896,43.46434192249953,11.74270702446583,21.996802948846494,46.08331499812863
2003-02-01,23.898793108081918,16.40957758674186,10.097514226297704,36.331598384721474,10.865408581572993,18.55385752150073,32.732097557849784
2003-03-01,20.65054560978635,14.411878370994824,7.511918212218745,34.99649983258561,9.711149032226103,15.205415344516055,26.157111432420947
2003-04-01,15.616775952037301,11.970620806183083,6.175305091796176,22.379065950822124,8.135099659557056,12.888924094510898,23.41058765891424
2003-05-01,12.52375994435944,11.659869818800919,8.585334314843294,13.989872914714184,7.670884156550997,12.406620786691946,20.112484572271953
2003-06-01,8.052101844944247,9.89118489673431,9.115667201438143,5.256733699844958,7.727735978951117,9.353000661151455,15.090781976803285
2003-07-01,3.8702813479440863,8.157051141498822,8.891116025915522,1.0080328331371504,8.014932681898188,6.939520601339183,7.447579755756891
2003-08-01,2.4131100770300264,7.061773090676056,7.293003734923005,0.5996883535759565,8.142507602137243,6.427774343978541,1.0898175157586536
2003-09-01,6.1535316330829914,7.251350956274436,6.29233920739307,12.506780821985686,7.371267563051063,5.517743184414854,-0.24366772778434154
2003-10-01,7.533841280339672,7.371917241627886,6.577476197939362,12.314316170344469,7.478324132797383,4.662796911160385,1.4081765266058568
2003-11-01,6.635816632118491,7.048115370147343,6.389020537502631,9.300476523332406,6.798161869412553,3.8800833258478775,2.0471478313837963
2003-12-01,3.334672593946948,5.980852247812274,6.409768197688592,2.6703268386603725,6.441571047284285,4.194164065670236,1.6523035643894133
